time, Vcn, Von, VoVcn,
4.042809, 1.677393, 1.678198, 0.000806,
4.052805, 1.674976, 1.673364, -0.001611,
4.062919, 1.674170, 1.673364, -0.000806,
4.073033, 1.672559, 1.662085, -0.010474,
4.083168, 1.670947, 1.641943, -0.029004,
4.093247, 1.666919, 1.665308, -0.001611,
4.103432, 1.674976, 1.681421, 0.006445,
4.113264, 1.674170, 1.669336, -0.004834,
4.123361, 1.674976, 1.666919, -0.008057,
4.133677, 1.670142, 1.666919, -0.003223,
4.143806, 1.676587, 1.661279, -0.015308,
4.153904, 1.664502, 1.677393, 0.012891,
4.163914, 1.676587, 1.666919, -0.009668,
4.174104, 1.677393, 1.670142, -0.007251,
4.184241, 1.664502, 1.657251, -0.007251,
4.194353, 1.664502, 1.664502, 0.000000,
4.204252, 1.662891, 1.662085, -0.000806,
4.214348, 1.662085, 1.665308, 0.003223,
4.224226, 1.665308, 1.658057, -0.007251,
4.234367, 1.661279, 1.645166, -0.016113,
4.244486, 1.665308, 1.658862, -0.006445,
4.254695, 1.668530, 1.665308, -0.003223,
4.264980, 1.664502, 1.660474, -0.004028,
4.275117, 1.666113, 1.666919, 0.000806,
4.284905, 1.662085, 1.662891, 0.000806,
4.294803, 1.662891, 1.662085, -0.000806,
4.304900, 1.666113, 1.670142, 0.004028,
4.314800, 1.668530, 1.666113, -0.002417,
4.324985, 1.670142, 1.666919, -0.003223,
4.335142, 1.660474, 1.662085, 0.001611,
4.345032, 1.668530, 1.661279, -0.007251,
4.355142, 1.660474, 1.662085, 0.001611,
4.365166, 1.656445, 1.672559, 0.016113,
4.375141, 1.662891, 1.658057, -0.004834,
4.385251, 1.669336, 1.676587, 0.007251,
4.395058, 1.666919, 1.668530, 0.001611,
4.405030, 1.669336, 1.662085, -0.007251,
4.415061, 1.665308, 1.658862, -0.006445,
4.425254, 1.662085, 1.653223, -0.008862,
4.435474, 1.666113, 1.673364, 0.007251,
4.445351, 1.665308, 1.661279, -0.004028,
4.455474, 1.670142, 1.666919, -0.003223,
4.465695, 1.665308, 1.658862, -0.006445,
4.475916, 1.666919, 1.654028, -0.012891,
4.486036, 1.673364, 1.662085, -0.011279,
4.496143, 1.673364, 1.673364, 0.000000,
4.506142, 1.678198, 1.678198, 0.000000,
4.512795, 1.665308, 1.662891, -0.002417,
4.523031, 1.677393, 1.657251, -0.020142,
4.533256, 1.679810, 1.683032, 0.003223,
4.543138, 1.676587, 1.664502, -0.012085,
4.553369, 1.672559, 1.674170, 0.001611,
4.563393, 1.670947, 1.677393, 0.006445,
4.573255, 1.662085, 1.677393, 0.015308,
4.583219, 1.674170, 1.681421, 0.007251,
4.593041, 1.679004, 1.654028, -0.024976,
4.603244, 1.668530, 1.674976, 0.006445,
4.613107, 1.677393, 1.653223, -0.024170,
4.623137, 1.673364, 1.660474, -0.012891,
4.633350, 1.674170, 1.670947, -0.003223,
4.643470, 1.674170, 1.658862, -0.015308,
4.653652, 1.677393, 1.674976, -0.002417,
4.663848, 1.677393, 1.670947, -0.006445,
4.673913, 1.668530, 1.677393, 0.008862,
4.683806, 1.674170, 1.673364, -0.000806,
4.693814, 1.673364, 1.658057, -0.015308,
4.704034, 1.670947, 1.674170, 0.003223,
4.713903, 1.673364, 1.666919, -0.006445,
4.724101, 1.668530, 1.665308, -0.003223,
4.734255, 1.677393, 1.662085, -0.015308,
4.744364, 1.674976, 1.669336, -0.005640,
4.754589, 1.676587, 1.666919, -0.009668,
4.764803, 1.672559, 1.672559, 0.000000,
4.774804, 1.672559, 1.669336, -0.003223,
4.784891, 1.672559, 1.654028, -0.018530,
4.794918, 1.670142, 1.662085, -0.008057,
4.805142, 1.664502, 1.676587, 0.012085,
4.815039, 1.664502, 1.665308, 0.000806,
4.824988, 1.662085, 1.654834, -0.007251,
4.835137, 1.657251, 1.668530, 0.011279,
4.845029, 1.658862, 1.662085, 0.003223,
4.854908, 1.660474, 1.664502, 0.004028,
4.864930, 1.666113, 1.666113, 0.000000,
4.874897, 1.668530, 1.641138, -0.027393,
4.885036, 1.666113, 1.654834, -0.011279,
4.895140, 1.666113, 1.656445, -0.009668,
4.905361, 1.669336, 1.670142, 0.000806,
4.915249, 1.665308, 1.662085, -0.003223,
4.925430, 1.665308, 1.654028, -0.011279,
4.935588, 1.664502, 1.656445, -0.008057,
4.945690, 1.657251, 1.656445, -0.000806,
4.955803, 1.670142, 1.658057, -0.012085,
4.966030, 1.665308, 1.660474, -0.004834,
4.976257, 1.662085, 1.656445, -0.005640,
4.986362, 1.670142, 1.670142, 0.000000,
4.996166, 1.665308, 1.666113, 0.000806,
5.003397, 1.665308, 1.676587, 0.011279,
5.013255, 1.666113, 1.661279, -0.004834,
5.023362, 1.662085, 1.660474, -0.001611,
5.033594, 1.665308, 1.658862, -0.006445,
5.043699, 1.665308, 1.658862, -0.006445,
5.053933, 1.670142, 1.664502, -0.005640,
5.064207, 1.666113, 1.654834, -0.011279,
5.074451, 1.662085, 1.656445, -0.005640,
5.084467, 1.666113, 1.660474, -0.005640,
5.094500, 1.670142, 1.662891, -0.007251,
5.104690, 1.670142, 1.660474, -0.009668,
5.114802, 1.670142, 1.660474, -0.009668,
5.124917, 1.677393, 1.658057, -0.019336,
5.135151, 1.672559, 1.670947, -0.001611,
5.145261, 1.679810, 1.649194, -0.030615,
5.155385, 1.676587, 1.662085, -0.014502,
5.165690, 1.678198, 1.691089, 0.012891,
5.175697, 1.676587, 1.647583, -0.029004,
5.185812, 1.674976, 1.679004, 0.004028,
5.195696, 1.674170, 1.666113, -0.008057,
5.205826, 1.676587, 1.668530, -0.008057,
5.215914, 1.670142, 1.662891, -0.007251,
5.226145, 1.674976, 1.666113, -0.008862,
5.236364, 1.673364, 1.687060, 0.013696,
5.246255, 1.673364, 1.640332, -0.033032,
5.256467, 1.672559, 1.660474, -0.012085,
5.266652, 1.677393, 1.670142, -0.007251,
5.276852, 1.674976, 1.656445, -0.018530,
5.286912, 1.674170, 1.674170, 0.000000,
5.296757, 1.674976, 1.674976, 0.000000,
5.306692, 1.673364, 1.668530, -0.004834,
5.316808, 1.674976, 1.662891, -0.012085,
5.327034, 1.677393, 1.662085, -0.015308,
5.337252, 1.674976, 1.674170, -0.000806,
5.347360, 1.672559, 1.665308, -0.007251,
5.357460, 1.672559, 1.670142, -0.002417,
5.367690, 1.664502, 1.679004, 0.014502,
5.377701, 1.672559, 1.633887, -0.038672,
5.387805, 1.676587, 1.674170, -0.002417,
5.397812, 1.674170, 1.665308, -0.008862,
5.407986, 1.670947, 1.669336, -0.001611,
5.418047, 1.670947, 1.673364, 0.002417,
5.428039, 1.677393, 1.669336, -0.008057,
5.438153, 1.670142, 1.670142, 0.000000,
5.448030, 1.665308, 1.664502, -0.000806,
5.458146, 1.662085, 1.658862, -0.003223,
5.468359, 1.666113, 1.666113, 0.000000,
5.478355, 1.664502, 1.654834, -0.009668,
5.488495, 1.657251, 1.660474, 0.003223,
5.498360, 1.661279, 1.664502, 0.003223,
5.508261, 1.662085, 1.662085, 0.000000,
5.518045, 1.668530, 1.670142, 0.001611,
5.527992, 1.669336, 1.662085, -0.007251,
5.538145, 1.666113, 1.654028, -0.012085,
5.548256, 1.662085, 1.664502, 0.002417,
5.558221, 1.665308, 1.669336, 0.004028,
5.568253, 1.662085, 1.666919, 0.004834,
5.578266, 1.661279, 1.679004, 0.017725,
5.588142, 1.664502, 1.670142, 0.005640,
5.598040, 1.668530, 1.666919, -0.001611,
5.608149, 1.670142, 1.657251, -0.012891,
5.618297, 1.662085, 1.669336, 0.007251,
5.628256, 1.661279, 1.662085, 0.000806,
5.638256, 1.660474, 1.664502, 0.004028,
5.648141, 1.660474, 1.662085, 0.001611,
5.658041, 1.670142, 1.650806, -0.019336,
5.668254, 1.662891, 1.676587, 0.013696,
5.678269, 1.662891, 1.636304, -0.026587,
5.688361, 1.665308, 1.669336, 0.004028,
5.698285, 1.654834, 1.662085, 0.007251,
5.708258, 1.660474, 1.653223, -0.007251,
5.718366, 1.669336, 1.665308, -0.004028,
5.728592, 1.662085, 1.662891, 0.000806,
5.738483, 1.664502, 1.658862, -0.005640,
5.748591, 1.669336, 1.658862, -0.010474,
5.758704, 1.666919, 1.658057, -0.008862,
5.768910, 1.677393, 1.662085, -0.015308,
5.779150, 1.670142, 1.670947, 0.000806,
5.789043, 1.679810, 1.676587, -0.003223,
5.799228, 1.666919, 1.679004, 0.012085,
5.809066, 1.673364, 1.672559, -0.000806,
