time, Vca,
47.124862, 1.643555,
47.130294, 1.643555,
47.135736, 1.647583,
47.141282, 1.647583,
47.146731, 1.649194,
47.152204, 1.656445,
47.157697, 1.658862,
47.163128, 1.652417,
47.168562, 1.656445,
47.174109, 1.654028,
47.179572, 1.654834,
47.184940, 1.654834,
47.190407, 1.654834,
47.195815, 1.658057,
47.201261, 1.654834,
47.206699, 1.653223,
47.212128, 1.650806,
47.217613, 1.654834,
47.223161, 1.650000,
47.228534, 1.654028,
47.233933, 1.654834,
47.239378, 1.650806,
47.244809, 1.653223,
47.250292, 1.652417,
47.255733, 1.654834,
47.261165, 1.654834,
47.266711, 1.654028,
47.272234, 1.656445,
47.277703, 1.652417,
47.283131, 1.653223,
47.288681, 1.653223,
47.294120, 1.654834,
47.299590, 1.653223,
47.305012, 1.654834,
47.310494, 1.652417,
47.316000, 1.656445,
47.321523, 1.653223,
47.326948, 1.653223,
47.332370, 1.654028,
47.337726, 1.649194,
47.343208, 1.650000,
47.348700, 1.650806,
47.354155, 1.654028,
47.359568, 1.653223,
47.365037, 1.650000,
47.370558, 1.652417,
47.376011, 1.652417,
47.381484, 1.653223,
47.386919, 1.652417,
47.392445, 1.652417,
47.397911, 1.654834,
47.403357, 1.654834,
47.408781, 1.656445,
47.414292, 1.652417,
47.419873, 1.654028,
47.425292, 1.650806,
47.430735, 1.654834,
47.436167, 1.652417,
47.441712, 1.654834,
47.447165, 1.654028,
47.452657, 1.649194,
47.458090, 1.653223,
47.463615, 1.653223,
47.469029, 1.640332,
47.474568, 1.644360,
47.480016, 1.641943,
47.485497, 1.640332,
47.491001, 1.643555,
47.496416, 1.640332,
47.501813, 1.643555,
47.507138, 1.644360,
47.512701, 1.645166,
47.518205, 1.644360,
47.523780, 1.643555,
47.529237, 1.640332,
47.534683, 1.641138,
47.540181, 1.644360,
47.545649, 1.643555,
47.551162, 1.645166,
47.556593, 1.644360,
47.562005, 1.643555,
47.567548, 1.643555,
47.573066, 1.647583,
47.578519, 1.645972,
47.583950, 1.645166,
47.589512, 1.645972,
47.594955, 1.644360,
47.600389, 1.647583,
47.605816, 1.645166,
47.611261, 1.650806,
47.616798, 1.643555,
47.622387, 1.645166,
47.627809, 1.647583,
47.633159, 1.643555,
47.638645, 1.647583,
47.644080, 1.641138,
47.649526, 1.647583,
47.654952, 1.645972,
47.660386, 1.645166,
47.665912, 1.644360,
47.671478, 1.643555,
47.676950, 1.647583,
47.682366, 1.645972,
47.687753, 1.645166,
47.693206, 1.644360,
47.698680, 1.647583,
47.704127, 1.647583,
47.709595, 1.645166,
47.715133, 1.645972,
47.720659, 1.645972,
47.726135, 1.645166,
47.731538, 1.647583,
47.736935, 1.645166,
47.742416, 1.645166,
47.747651, 1.647583,
