=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.12.14 18:16:06 =~=~=~=~=~=~=~=~=~=~=~=
************************************************************...temp init complete
Cx9000,cmd: Cx9000
 Number of samples           0 ->          0,      uintl (  Cx)
 Number of samples           0 ->       9000,      uintl (  Cx)
unit_x, time, Von,
x_unit, 4.153857, 1.529956,
x_unit, 4.160803, 1.536401,
x_unit, 4.167751, 1.535596,
x_unit, 4.175131, 1.532373,
x_unit, 4.182155, 1.535596,
x_unit, 4.189231, 1.533179,
x_unit, 4.196178, 1.528345,
x_unit, 4.203152, 1.531567,
x_unit, 4.210096, 1.535596,
x_unit, 4.217158, 1.535596,
x_unit, 4.225202, 1.533179,
x_unit, 4.232228, 1.535596,
x_unit, 4.239294, 1.533179,
x_unit, 4.246242, 1.535596,
x_unit, 4.253202, 1.533984,
x_unit, 4.260157, 1.532373,
x_unit, 4.267227, 1.532373,
x_unit, 4.274263, 1.532373,
x_unit, 4.281246, 1.533179,
x_unit, 4.288292, 1.532373,
x_unit, 4.295228, 1.533984,
x_unit, 4.302157, 1.533179,
x_unit, 4.309108, 1.538013,
x_unit, 4.316124, 1.533984,
x_unit, 4.324126, 1.533179,
x_unit, 4.331170, 1.537207,
x_unit, 4.338243, 1.536401,
x_unit, 4.345229, 1.532373,
x_unit, 4.352173, 1.532373,
x_unit, 4.360221, 1.536401,
x_unit, 4.367325, 1.533179,
x_unit, 4.374472, 1.533179,
x_unit, 4.381461, 1.535596,
x_unit, 4.389032, 1.533984,
x_unit, 4.396076, 1.537207,
x_unit, 4.403013, 1.535596,
x_unit, 4.410028, 1.535596,
x_unit, 4.417061, 1.535596,
x_unit, 4.425100, 1.536401,
x_unit, 4.432129, 1.537207,
x_unit, 4.439170, 1.542847,
x_unit, 4.446152, 1.533179,
x_unit, 4.453105, 1.531567,
x_unit, 4.460079, 1.528345,
x_unit, 4.467130, 1.527539,
x_unit, 4.474156, 1.531567,
x_unit, 4.481140, 1.529956,
x_unit, 4.488157, 1.527539,
x_unit, 4.495102, 1.525928,
x_unit, 4.502644, 1.529956,
x_unit, 4.510752, 1.524316,
x_unit, 4.517768, 1.529150,
x_unit, 4.525382, 1.529150,
x_unit, 4.532380, 1.529150,
x_unit, 4.539449, 1.525928,
x_unit, 4.546453, 1.528345,
x_unit, 4.553390, 1.528345,
x_unit, 4.560351, 1.529150,
x_unit, 4.567383, 1.525928,
x_unit, 4.574441, 1.528345,
x_unit, 4.581398, 1.527539,
x_unit, 4.588482, 1.520288,
x_unit, 4.595465, 1.529150,
x_unit, 4.602392, 1.529150,
x_unit, 4.609393, 1.529150,
x_unit, 4.616466, 1.525928,
x_unit, 4.623449, 1.528345,
x_unit, 4.630877, 1.531567,
x_unit, 4.637993, 1.521899,
x_unit, 4.644957, 1.528345,
x_unit, 4.651946, 1.524316,
x_unit, 4.658937, 1.533179,
x_unit, 4.666032, 1.525928,
x_unit, 4.673108, 1.531567,
x_unit, 4.680061, 1.525122,
x_unit, 4.687111, 1.529150,
x_unit, 4.694072, 1.527539,
x_unit, 4.701020, 1.527539,
x_unit, 4.707962, 1.529150,
x_unit, 4.715006, 1.525928,
x_unit, 4.722046, 1.528345,
x_unit, 4.728877, 1.529150,
x_unit, 4.735729, 1.528345,
x_unit, 4.743242, 1.531567,
x_unit, 4.750205, 1.529150,
x_unit, 4.757123, 1.525928,
x_unit, 4.764184, 1.529956,
x_unit, 4.771239, 1.529956,
x_unit, 4.778187, 1.535596,
x_unit, 4.785172, 1.529956,
x_unit, 4.792201, 1.532373,
x_unit, 4.799156, 1.532373,
x_unit, 4.806158, 1.533179,
x_unit, 4.813236, 1.538013,
